Date,Close,High,Low,Open,Volume
03-01-2007,12474.51953,12580.34961,12404.82031,12459.54004,327200000
04-01-2007,12480.69043,12510.41016,12403.86035,12473.16016,259060000
05-01-2007,12398.00977,12480.12988,12365.41016,12480.0498,235220000
08-01-2007,12423.49023,12445.91992,12337.37012,12392.00977,223500000
09-01-2007,12416.59961,12466.42969,12369.16992,12424.76953,225190000
10-01-2007,12442.16016,12451.61035,12355.62988,12417,226570000
11-01-2007,12514.98047,12544.45996,12442.95996,12442.95996,261720000
12-01-2007,12556.08008,12561.04004,12489.66016,12514.66016,256530000
16-01-2007,12582.58984,12585.08008,12538.92969,12555.83984,242720000
17-01-2007,12577.15039,12614,12550.5498,12571.45996,272720000
18-01-2007,12567.92969,12611.91016,12547.33984,12575.05957,250690000
19-01-2007,12565.53027,12586.83984,12523.5498,12567.92969,287480000
22-01-2007,12477.16016,12572.58008,12450.88965,12565.53027,293400000
23-01-2007,12533.7998,12554.23047,12468.34961,12477.80957,236760000
24-01-2007,12621.76953,12623.4502,12531.08008,12534.37012,216920000
25-01-2007,12502.55957,12622.65039,12487.33984,12621.76953,275780000
26-01-2007,12487.01953,12539.08984,12431.33984,12503.28027,247020000
29-01-2007,12490.78027,12542.7002,12481.49023,12487.09961,234510000
30-01-2007,12523.30957,12538.4502,12459.45996,12492.23047,244040000
31-01-2007,12621.69043,12657.01953,12505.2002,12520.03027,258410000
01-02-2007,12673.67969,12682.57031,12616.08008,12617.2002,235130000
02-02-2007,12653.49023,12683.92969,12638.34961,12673.83984,203610000
05-02-2007,12661.74023,12681.20996,12629.86035,12653.41016,204140000
06-02-2007,12666.30957,12680.57031,12633.94043,12661.66016,201010000
07-02-2007,12666.87012,12700.28027,12630.5,12656.86035,194020000
08-02-2007,12637.62988,12665.83008,12575.86035,12665.66992,193820000
09-02-2007,12580.83008,12675.67969,12545.09961,12638.03027,220330000
12-02-2007,12552.5498,12607.50977,12536.20996,12580.11035,174980000
13-02-2007,12654.84961,12658.21973,12549.19043,12549.19043,204940000
14-02-2007,12741.86035,12759.40039,12651.20996,12651.29004,210880000
15-02-2007,12765.00977,12779.03027,12728.71973,12741.7002,183280000
16-02-2007,12767.57031,12769.16992,12744.01953,12764.12988,243560000
20-02-2007,12786.63965,12795.92969,12704.67969,12766.84961,205760000
21-02-2007,12738.41016,12782.87012,12707.16992,12782.87012,213470000
22-02-2007,12686.01953,12763.73047,12650.61035,12735.76953,206860000
23-02-2007,12647.48047,12682.12988,12628.01953,12679.88965,215430000
26-02-2007,12632.25977,12697.23047,12608.46973,12647.87988,230080000
27-02-2007,12216.24023,12629.37988,12086.05957,12628.90039,393300000
28-02-2007,12268.62988,12353.46973,12186.04004,12214.91992,412820000
01-03-2007,12234.33984,12289.21973,12059.54004,12268.62988,372010000
02-03-2007,12114.09961,12247.40039,12107.37012,12233.78027,315180000
05-03-2007,12050.41016,12188.83984,12039.11035,12111.61035,278770000
06-03-2007,12207.58984,12224.41016,12050.61035,12051.16992,278810000
07-03-2007,12192.4502,12256.94043,12178.99023,12204.45996,263540000
08-03-2007,12260.7002,12303.63965,12193.33008,12193.33008,241070000
09-03-2007,12276.32031,12330.87988,12228.5,12262.05957,211040000
12-03-2007,12318.62012,12349.9502,12246.51953,12275.67969,219580000
13-03-2007,12075.95996,12307.57031,12071.48047,12307.49023,312340000
14-03-2007,12133.40039,12142.94043,11939.61035,12074.51953,333450000
15-03-2007,12159.67969,12188.12012,12105.91992,12133.16016,232600000
16-03-2007,12110.41016,12190.36035,12082.12988,12159.67969,388660000
19-03-2007,12226.16992,12234.66992,12110.41016,12110.41016,208480000
20-03-2007,12288.09961,12294.03027,12213.11035,12226.80957,196620000
21-03-2007,12447.51953,12480.4502,12263.50977,12288.98047,246000000
22-03-2007,12461.13965,12476.28027,12408.50977,12446.71973,232700000
23-03-2007,12481.00977,12511.0498,12448.65039,12460.5,206410000
26-03-2007,12469.07031,12486.78027,12367.16992,12480.37012,219960000
27-03-2007,12397.29004,12468.66992,12377.26953,12468.66992,209340000
28-03-2007,12300.36035,12396.49023,12257.41992,12396.49023,224830000
29-03-2007,12348.75,12381.91016,12267.58984,12301.48047,208160000
30-03-2007,12354.34961,12416.67969,12242.59961,12348.91016,233630000
02-04-2007,12382.2998,12394.98047,12324.28027,12354.51953,209420000
03-04-2007,12510.2998,12534.26953,12379.0498,12379.0498,220470000
04-04-2007,12530.0498,12541.50977,12495.75,12511.36035,210130000
05-04-2007,12560.2002,12572.46973,12500.38965,12523.21973,164930000
09-04-2007,12569.13965,12593.59961,12555.32031,12562.63965,191590000
10-04-2007,12573.84961,12588.55957,12549.46973,12568.49023,214690000
11-04-2007,12484.62012,12580.03027,12455.84961,12573.12012,245470000
