Date,Close,High,Low,Open,Volume
02-01-2007,20310.17969,20323.58984,19990.2793,20004.83984,1264596800
03-01-2007,20413.39063,20554.58008,20249.60938,20353.41992,1673968900
04-01-2007,20025.58008,20463.17969,19948.01953,20415.66992,2130510200
05-01-2007,20211.2793,20213.64063,19757.24023,19890.15039,1959114400
08-01-2007,20029.66016,20085.58008,19844.31055,19915,1438589300
09-01-2007,19898.08008,20173.06055,19794.28906,20162.53906,1524412800
10-01-2007,19568.33984,19693.69922,19507.9707,19665.40039,1684164000
11-01-2007,19385.36914,19697.58008,19350.5,19653.01953,1436329900
12-01-2007,19613.41016,19680.63086,19523.75977,19628.82031,1486034100
15-01-2007,20068.56055,20073.28906,19746.07031,19776.13086,1252411300
16-01-2007,20027.94922,20133.49023,19938.19922,20130.55078,1026767900
17-01-2007,20064.57031,20122.42969,19841.16016,19917.49023,1117662100
18-01-2007,20277.50977,20297.41016,20002.76953,20064.75,1354156400
19-01-2007,20327.7207,20337.92969,20189.35938,20215.55078,1025928300
22-01-2007,20772.2207,20779.51953,20487.59961,20501.44922,1019021700
23-01-2007,20769.69922,20810.78906,20589.41992,20743.84961,1409621100
24-01-2007,20821.05078,20971.46094,20725.48047,20950.93945,1053436000
25-01-2007,20669.83008,20897.55078,20610.2207,20889.74023,918331200
26-01-2007,20281.13086,20457.48047,20204.66992,20457.48047,1539136300
29-01-2007,20236.67969,20366.71094,20197.59961,20317.39063,680469300
30-01-2007,20460.46094,20465.46094,20165.2207,20281.92969,626581300
31-01-2007,20106.41992,20507.67969,20008.59961,20463.82031,997395300
01-02-2007,20430.16016,20496.81055,20176.61914,20251.57031,1071631200
02-02-2007,20563.67969,20704.09961,20468.83984,20544.33008,945602500
05-02-2007,20455.61914,20645.82031,20409.16016,20514.83008,819094000
06-02-2007,20655.19922,20712.32031,20438.35938,20511.7793,848211100
07-02-2007,20679.68945,20739.00977,20598.0293,20716.58984,1088530300
08-02-2007,20735.05078,20763.57031,20318.99023,20475.88086,1525211600
09-02-2007,20677.66016,20771.08984,20593.75977,20746.94922,772407000
12-02-2007,20593.41016,20696.65039,20488.82031,20534.42969,813622500
13-02-2007,20132.25,20523.91016,20127.11914,20523.91016,953727400
14-02-2007,20209.91016,20330.36914,20184.68945,20302.19922,686788500
15-02-2007,20538.41992,20570.14063,20398.44922,20466.65039,845067500
16-02-2007,20567.91016,20588.17969,20458.00977,20545.92969,709936300
21-02-2007,20651.41992,20677.28906,20540.32031,20649.7207,749988900
22-02-2007,20809.23047,20829.66016,20740.33008,20748.46094,795301400
23-02-2007,20711.65039,20844.25,20547.43945,20844.25,874084000
26-02-2007,20507.94922,20581.41992,20474.41016,20520.44922,782347000
27-02-2007,20147.86914,20500.88086,20042.30078,20500.88086,1412425800
28-02-2007,19651.50977,19749.58984,19381.88086,19426.94922,2038333200
01-03-2007,19346.59961,19643.41016,19346.59961,19581.85938,1474434200
02-03-2007,19442.00977,19560.51953,19355.63086,19386.57031,1132374600
05-03-2007,18664.88086,19164.34961,18659.23047,19137.35938,1986020800
06-03-2007,19058.56055,19080.33984,18876.61914,18899.21094,1606525700
07-03-2007,18918.64063,19239.91992,18910.24023,19188.2207,1453798600
08-03-2007,19175.16992,19191.09961,18909.07031,18924.2793,1240695700
09-03-2007,19134.88086,19259.09961,19065.0293,19259.09961,1765809600
12-03-2007,19442.41992,19470.36914,19220.50977,19252.36914,1720489200
13-03-2007,19333.14063,19442.51953,19251.19922,19397.03906,1336198500
14-03-2007,18836.92969,18888.40039,18738.50977,18803.07031,2054887200
15-03-2007,18969.43945,19054.93945,18932.46094,19029.21094,898691400
16-03-2007,18953.5,19130.09961,18770.2793,18846.49023,0
19-03-2007,19266.74023,19267.83008,18967.41016,19006.15039,1292261700
20-03-2007,19356.90039,19463.90039,19332.59961,19430.69922,1021294300
21-03-2007,19516.41016,19537.08984,19270.7207,19380.98047,977841600
22-03-2007,19690.25,19813.21094,19621.25977,19757.73047,1650390800
23-03-2007,19692.64063,19729.49023,19634.10938,19665.05078,1073216700
26-03-2007,19765.84961,19819.03906,19653.73047,19719.88086,780644700
27-03-2007,19706.78906,19768.32031,19661.85938,19749.81055,920278300
28-03-2007,19553.86914,19729.31055,19459.18945,19664.88086,1198488800
29-03-2007,19821.7793,19832.14063,19460.35938,19470.41992,1914517600
30-03-2007,19800.92969,19880.25977,19705.56055,19810.85938,938595500
02-04-2007,19809.69922,19976.81055,19672.93945,19900.00977,848491800
03-04-2007,20002.69922,20021.0293,19903.89063,19903.89063,837020200
04-04-2007,20209.71094,20210.83984,20099.84961,20187.66992,1526199700
10-04-2007,20347.86914,20416.53906,20248.03906,20416.53906,1327698500
11-04-2007,20449.42969,20502.16992,20278.83984,20427.94922,1485648200
12-04-2007,20380.21094,20428.59961,20293.33008,20360.32031,1723266400
13-04-2007,20340.9707,20432.00977,20264.99023,20413.48047,1643673600
16-04-2007,20757.5293,20765.40039,20489.91016,20493.25977,1761272800
17-04-2007,20788.60938,20816.10938,20635.63086,20804.91992,1813650800
18-04-2007,20777.08984,20868.07031,20718.7207,20868.07031,1990598800
19-04-2007,20299.71094,20634.90039,20232.81055,20615.41992,2153180400
20-04-2007,20566.58984,20567.33984,20474.31055,20495.83008,1825297600
23-04-2007,20556.57031,20757.41016,20529.07031,20710.38086,1269192100
24-04-2007,20572.80078,20618.00977,20396.36914,20455.34961,1220512600
25-04-2007,20536.7793,20621.67969,20417.58984,20484.17969,1111525800
26-04-2007,20667.28906,20778.43945,20651.28906,20672.49023,1327995300
27-04-2007,20526.5,20619.10938,20425.57031,20557.07031,1115647800
30-04-2007,20318.98047,20525.96094,20130.10938,20525.96094,1232504000
02-05-2007,20388.49023,20483.24023,20351.25977,20384.0293,1118175200
03-05-2007,20681.58008,20739.0293,20555.57031,20582.41016,1119150600
04-05-2007,20841.08008,20883.21094,20714.82031,20865.06055,1261919000
07-05-2007,20896.64063,21070.21094,20891.06055,20933.99023,1355037900
08-05-2007,20706.34961,20880.69922,20662.59961,20850.07031,1137024700
09-05-2007,20844.7793,20844.7793,20677.81055,20704.36914,912644700
10-05-2007,20746.26953,20821.85938,20683.30078,20729.51953,1187355000
11-05-2007,20468.21094,20552.56055,20420.11914,20469.49023,1440580100
14-05-2007,20979.24023,21065.58984,20870.00977,21036.61914,2746175200
15-05-2007,20868.15039,21088.85938,20826.92969,20985.92969,1830068800
16-05-2007,20937.25977,20953.24023,20784.25,20854.08984,1082991000
17-05-2007,20994.60938,21084.23047,20944.15039,21042.66992,1084692600
18-05-2007,20904.83984,20904.83984,20769.09961,20882.86914,1294134700
21-05-2007,20927.75,21055.10938,20922.34961,20963.51953,1483071700
22-05-2007,20843.91992,21020.41992,20782.38086,20996.99023,1351403300
23-05-2007,20798.9707,20888.14063,20767.67969,20838.35938,920817100
25-05-2007,20520.66016,20566.25977,20474.0293,20553.7793,1601243700
28-05-2007,20529.75977,20619.16016,20503.86914,20594.14063,998483000
29-05-2007,20469.58984,20565.25,20395.09961,20518.34961,0
30-05-2007,20293.75977,20403.35938,20184.48047,20342.96094,1831418800
31-05-2007,20634.4707,20673.40039,20354.66016,20405.94922,1885289000
01-06-2007,20602.86914,20793.38086,20598.84961,20717.26953,1668128500
04-06-2007,20729.58984,20821.91016,20638.69922,20698.99023,1385369100
05-06-2007,20842.15039,20878.08984,20615.96094,20820.48047,1628208800
06-06-2007,20818.60938,20943.93945,20803.2207,20850.25977,1225409700
07-06-2007,20800.16016,20838.43945,20600.36914,20637.90039,1456509300
08-06-2007,20509.15039,20536.16992,20433.51953,20531.84961,1947561200
11-06-2007,20615.49023,20673.90039,20591.41992,20649.05078,1034142700
12-06-2007,20636.39063,20664.84961,20511.0293,20654.4707,989052500
13-06-2007,20578.75,20628.06055,20520.66992,20527.26953,1040542700
14-06-2007,20867.25977,20924.81055,20714.85938,20714.85938,2314377200
15-06-2007,21017.05078,21052.94922,20917.64063,21024.32031,2893956800
18-06-2007,21582.89063,21585.0293,21256.28906,21256.28906,3890428000
20-06-2007,21684.66992,21897.58008,21644.11914,21645.06055,3363787200
21-06-2007,21954.66992,21969.25977,21714.94922,21784.11914,2357828000
22-06-2007,21999.91016,22052.84961,21788.15039,21879.5,2095707600
25-06-2007,21822.34961,22085.58984,21814.46094,21884.09961,1598811300
26-06-2007,21803.57031,21950.01953,21755.28906,21800.76953,1552691700
27-06-2007,21705.56055,21800.49023,21562,21775.17969,2007429600
28-06-2007,21938.2207,22035.41992,21885.5293,21912.78906,2522367000
29-06-2007,21772.73047,22044.67969,21768.75977,21997.25,1621418900
03-07-2007,22151.14063,22159.51953,21960.75977,22004.14063,1882466600
04-07-2007,22218.55078,22307.59961,22131.24023,22279.83008,1890965200
05-07-2007,22252.99023,22328.60938,22126.9707,22272.81055,2014864600
06-07-2007,22531.74023,22565.42969,22081.34961,22217.46094,2258576800
09-07-2007,22817.42969,22818.32031,22601.65039,22719.99023,2780795000
10-07-2007,22885.83984,22889.60938,22718.13086,22833.4707,3951114400
11-07-2007,22607.01953,22850.40039,22539.69922,22655.38086,3298317200
12-07-2007,22809.01953,22975.81055,22773.71094,22797.75,2265775600
13-07-2007,23099.28906,23239.91992,23048.68945,23199.06055,1952540400
16-07-2007,22953.93945,23128.56055,22932.30078,23098.66016,1338833600
17-07-2007,23057.30078,23148.25977,22915.78906,22915.78906,1557914200
18-07-2007,22841.91992,23035.80078,22782.63086,22956.9707,2212038000
19-07-2007,23016.19922,23024.5,22817.91992,22864.75,1915786800
