Date,Open,High,Low,Close,Volume,Index
2007-01-05,1438.890015,1439.709961,1372.359985,1385.76001,869400,^KS11
2007-01-12,1376.76001,1389.0,1345.079956,1388.369995,1045500,^KS11
2007-01-19,1396.869995,1397.640015,1356.219971,1360.560059,944500,^KS11
2007-01-26,1363.839966,1392.550049,1348.459961,1371.329956,890800,^KS11
2007-02-02,1376.47998,1413.339966,1357.869995,1413.140015,877300,^KS11
2007-02-09,1413.77002,1432.290039,1409.709961,1427.680054,980300,^KS11
2007-02-16,1416.839966,1450.839966,1403.75,1448.810059,1066600,^KS11
2007-02-23,1450.959961,1471.040039,1443.969971,1469.880005,1099600,^KS11
2007-03-02,1466.920044,1470.949951,1393.959961,1417.339966,847500,^KS11
2007-03-09,1400.800049,1434.699951,1375.839966,1423.579956,1239200,^KS11
2007-03-16,1429.680054,1442.040039,1405.130005,1427.880005,1319300,^KS11
2007-03-23,1425.219971,1456.180054,1420.890015,1447.380005,1568200,^KS11
2007-03-30,1451.119995,1459.689941,1432.800049,1452.550049,1442000,^KS11
2007-04-06,1456.189941,1488.579956,1452.560059,1484.150024,1640300,^KS11
2007-04-13,1489.790039,1526.089966,1489.130005,1520.780029,1920700,^KS11
2007-04-20,1523.890015,1538.890015,1506.140015,1533.079956,1998500,^KS11
2007-04-27,1545.449951,1565.030029,1536.119995,1542.52002,1974000,^KS11
2007-05-04,1538.689941,1567.73999,1530.670044,1567.73999,1094500,^KS11
2007-05-11,1574.859985,1616.060059,1574.859985,1603.560059,1959200,^KS11
2007-05-18,1612.72998,1622.160034,1586.0,1612.25,2280600,^KS11
2007-05-25,1602.640015,1651.609985,1602.640015,1644.560059,1864400,^KS11
2007-06-01,1650.530029,1745.390015,1638.030029,1716.23999,2475500,^KS11
2007-06-08,1734.27002,1753.23999,1713.5,1727.280029,1952600,^KS11
2007-06-15,1740.459961,1776.800049,1709.959961,1772.26001,2743400,^KS11
2007-06-22,1786.290039,1813.839966,1759.949951,1770.97998,3061200,^KS11
2007-06-29,1754.199951,1785.869995,1724.819946,1743.599976,1666900,^KS11
2007-07-06,1741.410034,1865.52002,1736.630005,1861.01001,2069700,^KS11
2007-07-13,1870.349976,1962.939941,1865.790039,1962.930054,2263900,^KS11
2007-07-20,1965.660034,1983.540039,1922.140015,1983.540039,2379600,^KS11
2007-07-27,1978.050049,2015.47998,1863.390015,1883.219971,2850600,^KS11
2007-08-03,1874.079956,1933.27002,1810.619995,1876.800049,1871700,^KS11
2007-08-10,1832.540039,1928.640015,1814.300049,1828.48999,1824800,^KS11
2007-08-17,1840.890015,1857.130005,1626.869995,1638.069946,1737200,^KS11
2007-08-24,1700.47998,1816.189941,1693.420044,1791.329956,1998900,^KS11
2007-08-31,1825.969971,1873.349976,1773.050049,1873.23999,1949700,^KS11
2007-09-07,1876.920044,1899.660034,1844.640015,1884.900024,2034100,^KS11
2007-09-14,1845.589966,1875.949951,1805.880005,1870.02002,1926100,^KS11
2007-09-21,1873.650024,1921.22998,1837.219971,1919.26001,2081700,^KS11
2007-09-28,1944.869995,1952.390015,1935.02002,1946.47998,936200,^KS11
2007-10-05,1948.780029,2014.959961,1946.130005,1996.030029,1753000,^KS11
2007-10-12,2020.339966,2058.870117,1995.050049,2026.439941,2320500,^KS11
2007-10-19,2043.930054,2047.02002,1933.819946,1970.099976,2257100,^KS11
2007-10-26,1901.150024,2028.069946,1875.22998,2028.060059,2099300,^KS11
2007-11-02,2051.620117,2085.449951,2014.650024,2019.339966,2039200,^KS11
2007-11-09,2025.040039,2085.030029,1968.859985,1990.469971,1649200,^KS11
2007-11-16,1957.780029,1985.380005,1887.76001,1926.199951,1741700,^KS11
2007-11-23,1936.380005,1936.5,1745.26001,1772.880005,1564500,^KS11
2007-11-30,1803.76001,1918.119995,1787.949951,1906.0,1641000,^KS11
2007-12-07,1907.949951,1972.369995,1888.079956,1934.319946,1590900,^KS11
2007-12-14,1930.359985,1937.5,1877.27002,1895.050049,1493900,^KS11
2007-12-21,1873.150024,1886.390015,1808.859985,1878.319946,1323900,^KS11
2007-12-28,1899.199951,1926.089966,1890.810059,1897.130005,1043400,^KS11
2008-01-04,1891.449951,1892.5,1821.609985,1863.900024,799900,^KS11
2008-01-11,1815.72998,1855.069946,1776.26001,1782.27002,1438700,^KS11
2008-01-18,1781.0,1790.689941,1684.390015,1734.719971,1424100,^KS11
2008-01-25,1723.949951,1724.390015,1578.369995,1692.410034,1418300,^KS11
