Date,Open,High,Low,Close,Volume,Index
2007-01-02,20004.83984,20323.58984,19990.2793,20310.17969,1264596800,^HSI
2007-01-03,20353.41992,20554.58008,20249.60938,20413.39063,1673968900,^HSI
2007-01-04,20415.66992,20463.17969,19948.01953,20025.58008,2130510200,^HSI
2007-01-05,19890.15039,20213.64063,19757.24023,20211.2793,1959114400,^HSI
2007-01-08,19915.0,20085.58008,19844.31055,20029.66016,1438589300,^HSI
2007-01-09,20162.53906,20173.06055,19794.28906,19898.08008,1524412800,^HSI
2007-01-10,19665.40039,19693.69922,19507.9707,19568.33984,1684164000,^HSI
2007-01-11,19653.01953,19697.58008,19350.5,19385.36914,1436329900,^HSI
2007-01-12,19628.82031,19680.63086,19523.75977,19613.41016,1486034100,^HSI
2007-01-15,19776.13086,20073.28906,19746.07031,20068.56055,1252411300,^HSI
2007-01-16,20130.55078,20133.49023,19938.19922,20027.94922,1026767900,^HSI
2007-01-17,19917.49023,20122.42969,19841.16016,20064.57031,1117662100,^HSI
2007-01-18,20064.75,20297.41016,20002.76953,20277.50977,1354156400,^HSI
2007-01-19,20215.55078,20337.92969,20189.35938,20327.7207,1025928300,^HSI
2007-01-22,20501.44922,20779.51953,20487.59961,20772.2207,1019021700,^HSI
2007-01-23,20743.84961,20810.78906,20589.41992,20769.69922,1409621100,^HSI
2007-01-24,20950.93945,20971.46094,20725.48047,20821.05078,1053436000,^HSI
2007-01-25,20889.74023,20897.55078,20610.2207,20669.83008,918331200,^HSI
2007-01-26,20457.48047,20457.48047,20204.66992,20281.13086,1539136300,^HSI
2007-01-29,20317.39063,20366.71094,20197.59961,20236.67969,680469300,^HSI
2007-01-30,20281.92969,20465.46094,20165.2207,20460.46094,626581300,^HSI
2007-01-31,20463.82031,20507.67969,20008.59961,20106.41992,997395300,^HSI
2007-02-01,20251.57031,20496.81055,20176.61914,20430.16016,1071631200,^HSI
2007-02-02,20544.33008,20704.09961,20468.83984,20563.67969,945602500,^HSI
2007-02-05,20514.83008,20645.82031,20409.16016,20455.61914,819094000,^HSI
2007-02-06,20511.7793,20712.32031,20438.35938,20655.19922,848211100,^HSI
2007-02-07,20716.58984,20739.00977,20598.0293,20679.68945,1088530300,^HSI
2007-02-08,20475.88086,20763.57031,20318.99023,20735.05078,1525211600,^HSI
2007-02-09,20746.94922,20771.08984,20593.75977,20677.66016,772407000,^HSI
2007-02-12,20534.42969,20696.65039,20488.82031,20593.41016,813622500,^HSI
2007-02-13,20523.91016,20523.91016,20127.11914,20132.25,953727400,^HSI
2007-02-14,20302.19922,20330.36914,20184.68945,20209.91016,686788500,^HSI
2007-02-15,20466.65039,20570.14063,20398.44922,20538.41992,845067500,^HSI
2007-02-16,20545.92969,20588.17969,20458.00977,20567.91016,709936300,^HSI
2007-02-21,20649.7207,20677.28906,20540.32031,20651.41992,749988900,^HSI
2007-02-22,20748.46094,20829.66016,20740.33008,20809.23047,795301400,^HSI
2007-02-23,20844.25,20844.25,20547.43945,20711.65039,874084000,^HSI
2007-02-26,20520.44922,20581.41992,20474.41016,20507.94922,782347000,^HSI
2007-02-27,20500.88086,20500.88086,20042.30078,20147.86914,1412425800,^HSI
2007-02-28,19426.94922,19749.58984,19381.88086,19651.50977,2038333200,^HSI
2007-03-01,19581.85938,19643.41016,19346.59961,19346.59961,1474434200,^HSI
2007-03-02,19386.57031,19560.51953,19355.63086,19442.00977,1132374600,^HSI
2007-03-05,19137.35938,19164.34961,18659.23047,18664.88086,1986020800,^HSI
2007-03-06,18899.21094,19080.33984,18876.61914,19058.56055,1606525700,^HSI
2007-03-07,19188.2207,19239.91992,18910.24023,18918.64063,1453798600,^HSI
2007-03-08,18924.2793,19191.09961,18909.07031,19175.16992,1240695700,^HSI
2007-03-09,19259.09961,19259.09961,19065.0293,19134.88086,1765809600,^HSI
2007-03-12,19252.36914,19470.36914,19220.50977,19442.41992,1720489200,^HSI
2007-03-13,19397.03906,19442.51953,19251.19922,19333.14063,1336198500,^HSI
2007-03-14,18803.07031,18888.40039,18738.50977,18836.92969,2054887200,^HSI
2007-03-15,19029.21094,19054.93945,18932.46094,18969.43945,898691400,^HSI
2007-03-16,18846.49023,19130.09961,18770.2793,18953.5,0,^HSI
2007-03-19,19006.15039,19267.83008,18967.41016,19266.74023,1292261700,^HSI
2007-03-20,19430.69922,19463.90039,19332.59961,19356.90039,1021294300,^HSI
2007-03-21,19380.98047,19537.08984,19270.7207,19516.41016,977841600,^HSI
2007-03-22,19757.73047,19813.21094,19621.25977,19690.25,1650390800,^HSI
2007-03-23,19665.05078,19729.49023,19634.10938,19692.64063,1073216700,^HSI
2007-03-26,19719.88086,19819.03906,19653.73047,19765.84961,780644700,^HSI
2007-03-27,19749.81055,19768.32031,19661.85938,19706.78906,920278300,^HSI
2007-03-28,19664.88086,19729.31055,19459.18945,19553.86914,1198488800,^HSI
2007-03-29,19470.41992,19832.14063,19460.35938,19821.7793,1914517600,^HSI
2007-03-30,19810.85938,19880.25977,19705.56055,19800.92969,938595500,^HSI
2007-04-02,19900.00977,19976.81055,19672.93945,19809.69922,848491800,^HSI
2007-04-03,19903.89063,20021.0293,19903.89063,20002.69922,837020200,^HSI
2007-04-04,20187.66992,20210.83984,20099.84961,20209.71094,1526199700,^HSI
2007-04-10,20416.53906,20416.53906,20248.03906,20347.86914,1327698500,^HSI
2007-04-11,20427.94922,20502.16992,20278.83984,20449.42969,1485648200,^HSI
2007-04-12,20360.32031,20428.59961,20293.33008,20380.21094,1723266400,^HSI
2007-04-13,20413.48047,20432.00977,20264.99023,20340.9707,1643673600,^HSI
2007-04-16,20493.25977,20765.40039,20489.91016,20757.5293,1761272800,^HSI
2007-04-17,20804.91992,20816.10938,20635.63086,20788.60938,1813650800,^HSI
2007-04-18,20868.07031,20868.07031,20718.7207,20777.08984,1990598800,^HSI
2007-04-19,20615.41992,20634.90039,20232.81055,20299.71094,-2141786896,^HSI
2007-04-20,20495.83008,20567.33984,20474.31055,20566.58984,1825297600,^HSI
2007-04-23,20710.38086,20757.41016,20529.07031,20556.57031,1269192100,^HSI
2007-04-24,20455.34961,20618.00977,20396.36914,20572.80078,1220512600,^HSI
2007-04-25,20484.17969,20621.67969,20417.58984,20536.7793,1111525800,^HSI
2007-04-26,20672.49023,20778.43945,20651.28906,20667.28906,1327995300,^HSI
2007-04-27,20557.07031,20619.10938,20425.57031,20526.5,1115647800,^HSI
2007-04-30,20525.96094,20525.96094,20130.10938,20318.98047,1232504000,^HSI
2007-05-02,20384.0293,20483.24023,20351.25977,20388.49023,1118175200,^HSI
2007-05-03,20582.41016,20739.0293,20555.57031,20681.58008,1119150600,^HSI
2007-05-04,20865.06055,20883.21094,20714.82031,20841.08008,1261919000,^HSI
2007-05-07,20933.99023,21070.21094,20891.06055,20896.64063,1355037900,^HSI
2007-05-08,20850.07031,20880.69922,20662.59961,20706.34961,1137024700,^HSI
2007-05-09,20704.36914,20844.7793,20677.81055,20844.7793,912644700,^HSI
2007-05-10,20729.51953,20821.85938,20683.30078,20746.26953,1187355000,^HSI
2007-05-11,20469.49023,20552.56055,20420.11914,20468.21094,1440580100,^HSI
2007-05-14,21036.61914,21065.58984,20870.00977,20979.24023,-1548792096,^HSI
2007-05-15,20985.92969,21088.85938,20826.92969,20868.15039,1830068800,^HSI
2007-05-16,20854.08984,20953.24023,20784.25,20937.25977,1082991000,^HSI
